year,annual_mm,jjas_mm,jjas_share,wet_area_fraction,wettest_day,wettest_day_mean_mm,valid_cells,wet_rank
1901,1014.3,743.1,73.3,21.5,1901-08-07,13.6,4964,113
1902,1046.2,796.7,76.2,21.4,1902-07-17,18.1,4964,106
1903,1168.6,865.1,74.0,23.2,1903-07-13,14.4,4964,49
1904,1008.8,747.9,74.1,21.0,1904-07-03,12.1,4964,116
1905,967.5,721.1,74.5,20.5,1905-09-12,13.4,4964,121
1906,1121.7,866.8,77.3,23.2,1906-07-23,13.4,4964,76
1907,1028.9,787.1,76.5,21.5,1907-08-02,16.1,4964,111
1908,1085.1,907.7,83.7,21.4,1908-08-02,16.4,4964,96
1909,1134.7,899.3,79.3,23.5,1909-07-17,15.4,4964,73
1910,1193.8,924.2,77.4,23.8,1910-07-05,16.8,4964,36
1911,1043.6,753.3,72.2,21.6,1911-06-12,17.7,4964,107
1912,1087.5,828.5,76.2,21.6,1912-07-20,17.0,4964,94
1913,1073.9,776.8,72.3,21.5,1913-07-18,16.7,4964,100
1914,1167.3,922.9,79.1,23.2,1914-09-18,17.6,4964,50
1915,1115.8,781.9,70.1,22.4,1915-06-26,13.9,4964,79
1916,1256.9,958.4,76.2,24.9,1916-08-06,14.0,4964,19
1917,1389.7,1024.9,73.7,28.3,1917-07-23,13.6,4964,1
1918,916.7,671.8,73.3,18.7,1918-08-24,11.0,4964,125
1919,1185.6,883.0,74.5,24.2,1919-08-02,13.8,4964,41
1920,972.6,730.8,75.1,19.9,1920-06-22,13.6,4964,120
1921,1148.2,890.4,77.5,22.2,1921-07-28,17.2,4964,66
1922,1123.9,888.1,79.0,22.7,1922-07-19,13.3,4964,75
1923,1103.1,834.9,75.7,21.7,1923-07-23,13.7,4964,84
1924,1165.5,906.0,77.7,22.8,1924-09-04,14.0,4964,52
1925,1118.3,823.8,73.7,22.6,1925-06-29,16.4,4964,77
1926,1162.0,905.4,77.9,23.3,1926-08-31,14.4,4964,56
1927,1147.5,875.9,76.3,22.9,1927-07-25,17.8,4964,67
1928,1105.3,789.7,71.4,22.7,1928-07-27,16.4,4964,82
1929,1149.2,824.1,71.7,23.2,1929-07-12,15.1,4964,63
1930,1150.7,830.7,72.2,22.8,1930-07-03,14.8,4964,61
1931,1254.5,921.3,73.4,24.4,1931-08-16,16.0,4964,21
1932,1144.7,852.8,74.5,22.4,1932-07-14,15.8,4964,69
1933,1321.8,986.2,74.6,25.8,1933-08-04,16.0,4964,4
1934,1180.7,930.6,78.8,22.8,1934-07-03,15.1,4964,44
1935,1087.7,880.4,80.9,22.0,1935-07-09,17.1,4964,92
1936,1272.2,938.2,73.8,24.8,1936-06-27,14.1,4964,14
1937,1170.8,863.9,73.8,23.1,1937-07-12,16.9,4964,48
1938,1224.6,947.9,77.4,23.9,1938-06-14,14.7,4964,32
1939,1080.5,812.7,75.2,21.1,1939-07-15,12.7,4964,97
1940,1162.9,855.7,73.6,23.1,1940-07-22,14.3,4964,55
1941,1035.1,769.0,74.3,20.4,1941-07-02,16.1,4964,109
1942,1224.7,967.5,79.0,23.1,1942-07-01,16.0,4964,31
1943,1238.0,899.1,72.6,24.5,1943-07-13,15.0,4964,27
1944,1267.4,933.7,73.7,25.1,1944-07-11,16.6,4964,15
1945,1183.3,922.9,78.0,23.0,1945-08-17,13.7,4964,42
1946,1274.9,930.5,73.0,24.5,1946-07-27,15.9,4964,13
1947,1190.8,943.4,79.2,23.1,1947-07-16,17.8,4964,39
1948,1263.0,912.0,72.2,25.1,1948-07-21,15.3,4964,17
1949,1249.5,925.4,74.1,24.3,1949-07-16,14.9,4964,24
1950,1159.6,904.6,78.0,22.4,1950-07-12,16.4,4964,58
