month,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,34.5,8.3,15.8,12.7,20.7,18.5,15.8,18.1,23.6,11.6,34.2,15.8,5.4,4.2,18.4,4.5,9.3,12.8,42.8,22.8,39.9,25.6,24.6,18.3,9.7,26.5,11.6,18.2,26.1,18.4,9.7,8.6,14.6,22.0,24.2,10.4,6.9,26.3,12.7,11.3,21.0,18.5,50.0,25.1,29.7,4.1,20.5,24.3,12.5,36.2,13.7,8.2,25.5,29.6,20.8,16.8,34.7,12.3,28.1,11.8,23.3,11.9,7.1,12.7,9.0,13.1,9.5,24.1,11.7,21.7,16.2,8.7,15.7,14.6,16.3,9.4,19.0,11.0,22.9,14.1,24.7,27.2,19.1,19.7,26.2,14.6,13.0,9.5,15.3,14.9,14.3,19.8,18.4,23.3,29.4,26.8,12.6,15.3,11.4,12.6,5.8,17.0,6.6,19.2,31.8,13.4,1.8,22.0,9.7,6.7,8.1,27.2,10.0,15.9,17.7,7.4,18.0,2.7,13.9,29.0,18.6,33.3,9.8,7.2,4.9
2,36.5,4.8,8.1,10.9,19.3,45.8,39.1,16.4,13.0,10.9,5.2,23.1,37.4,24.2,34.3,16.5,36.6,4.9,17.0,16.2,8.0,8.4,39.6,16.9,9.0,11.3,29.9,36.6,17.3,19.4,27.3,16.0,25.7,11.8,19.5,39.0,48.4,26.0,28.4,25.9,14.8,38.8,9.7,33.2,8.6,16.9,15.8,26.7,31.2,29.1,9.7,17.0,9.3,29.7,4.4,10.3,12.6,17.5,23.9,2.7,30.7,16.1,7.8,14.0,21.6,21.1,11.6,18.5,10.0,20.6,17.3,22.9,17.6,11.9,20.6,21.5,10.5,26.2,34.1,26.9,18.9,26.8,21.5,37.5,9.8,37.4,20.5,29.8,17.2,40.7,25.7,16.4,27.6,26.7,27.7,25.8,11.3,25.4,10.4,25.5,9.3,19.9,33.8,8.0,38.1,10.9,35.2,17.3,12.3,13.0,29.0,15.8,36.4,27.3,17.5,10.7,11.3,9.8,28.7,12.0,7.2,17.7,7.8,19.6,12.4
3,15.4,21.3,26.0,28.4,39.9,29.4,35.6,9.3,6.2,18.8,41.6,20.0,26.0,24.5,42.2,12.6,20.1,32.3,18.7,42.1,20.1,14.4,24.5,12.0,14.0,53.2,22.5,20.0,14.4,24.5,16.6,17.7,19.5,14.6,17.3,33.1,17.6,29.8,27.1,42.9,17.5,18.9,27.6,51.9,19.7,21.8,26.5,32.3,23.8,29.8,40.0,31.5,27.0,16.8,27.9,30.6,24.7,16.6,18.5,31.2,21.5,14.7,30.2,16.8,22.6,15.6,55.1,26.1,17.0,21.5,9.7,17.4,16.2,18.6,25.2,26.7,15.4,42.4,30.3,32.5,44.0,45.1,44.1,22.2,24.8,35.2,30.5,53.2,27.2,53.2,28.8,27.0,42.6,28.6,30.2,36.3,33.9,38.5,10.3,14.7,19.1,27.7,32.1,9.8,42.6,33.6,27.6,44.5,15.1,19.4,24.2,12.3,16.3,34.2,51.0,29.5,30.4,18.4,18.0,35.7,15.8,10.3,36.4,26.5,20.7
4,37.5,48.6,20.9,42.2,36.4,29.7,63.0,33.2,66.2,32.7,29.7,39.1,40.2,42.0,34.4,31.4,36.3,31.9,28.9,32.8,49.3,28.0,32.4,29.2,44.3,34.1,35.7,32.8,53.3,45.5,38.6,27.6,47.2,43.7,36.5,31.7,55.0,33.4,40.3,27.3,32.1,44.8,47.3,31.7,42.1,45.3,39.7,43.8,51.7,23.2,49.0,31.8,34.1,28.9,31.9,34.4,32.7,36.7,27.6,18.7,25.9,31.2,41.6,34.4,38.3,28.3,25.9,34.1,40.0,29.1,47.7,36.3,26.8,32.2,37.3,40.2,68.8,34.3,24.1,37.8,34.7,54.3,56.8,50.9,42.0,56.1,52.3,43.0,40.6,47.7,48.4,26.4,26.6,48.9,35.9,36.5,43.8,36.1,22.0,33.8,43.0,41.6,37.1,56.7,40.8,29.9,32.3,33.4,26.1,54.3,42.5,55.8,33.7,21.8,68.3,45.1,49.7,40.1,31.4,43.9,31.6,46.2,41.1,30.8,41.8
5,50.5,51.5,60.6,76.4,57.6,39.4,32.7,49.5,56.9,42.7,56.1,45.3,79.5,67.5,68.8,54.9,74.2,86.8,54.4,54.0,45.7,45.7,52.4,53.7,94.4,59.4,48.0,50.7,65.8,54.9,59.7,79.8,99.7,51.5,34.6,79.0,53.2,66.6,39.1,80.3,76.3,61.8,91.6,60.1,54.9,67.2,49.0,81.5,88.0,51.0,57.8,68.4,48.6,58.0,72.6,90.5,70.6,74.1,75.4,57.5,75.3,49.5,54.3,47.9,44.9,56.0,41.8,47.0,62.9,60.3,69.9,57.9,58.4,64.4,52.1,48.3,88.7,60.8,57.0,55.0,63.8,61.7,68.8,59.3,61.4,50.8,67.5,69.1,60.8,108.4,72.9,59.4,69.9,51.5,83.0,62.9,47.1,49.9,91.0,71.3,60.8,56.5,39.6,78.0,51.1,73.0,50.3,48.6,61.0,76.2,53.2,38.0,62.6,79.8,56.6,75.3,60.3,67.4,58.9,73.9,112.9,86.6,68.1,70.0,133.4
6,116.6,109.5,125.1,164.6,97.9,172.8,155.0,131.6,213.3,213.0,196.6,114.7,212.9,155.6,153.3,209.2,218.8,179.0,175.7,158.2,172.5,183.0,98.2,115.3,191.0,90.4,160.0,158.3,185.9,180.2,127.2,129.9,208.5,207.6,154.9,237.2,154.5,259.7,166.9,173.2,165.3,182.9,165.1,152.7,154.9,209.2,125.6,154.8,156.8,150.7,147.1,162.5,156.3,146.3,174.3,202.6,149.2,121.0,162.2,151.6,177.8,108.1,147.9,163.7,120.1,171.3,144.5,140.5,127.1,207.3,223.7,123.2,158.4,131.5,178.9,160.6,185.7,205.8,136.1,228.1,145.5,142.9,151.9,191.1,156.7,178.7,131.9,150.5,183.4,187.1,185.6,136.6,167.4,201.8,140.8,178.4,170.1,168.5,165.0,180.2,216.5,168.9,170.4,161.9,155.0,149.4,194.0,209.9,93.7,150.0,191.3,133.7,221.1,97.7,196.2,150.4,172.5,161.6,114.1,200.5,187.2,160.6,155.0,153.5,181.6
7,241.1,279.1,281.3,255.7,251.1,278.4,232.1,328.3,300.0,252.0,171.1,331.9,262.6,333.1,232.2,262.8,268.6,157.3,283.0,286.6,266.5,297.5,314.7,314.3,288.6,303.9,324.4,285.5,286.0,278.2,308.5,308.0,274.2,275.1,306.2,284.6,332.4,285.2,266.8,298.5,231.1,331.8,302.8,345.5,324.6,299.1,304.8,306.9,308.5,328.6,241.1,274.8,309.0,290.9,236.2,336.4,287.8,305.8,339.7,294.4,325.3,286.9,244.1,321.6,269.7,244.7,298.8,290.7,295.4,242.3,263.3,203.5,270.8,291.8,316.9,298.1,311.6,286.8,237.0,296.2,306.4,229.4,280.7,278.4,278.4,252.6,223.5,363.1,296.9,277.2,270.7,265.5,299.2,330.6,307.6,261.6,271.1,277.4,257.2,256.2,271.7,150.6,314.0,229.4,318.2,289.1,285.6,250.1,295.2,302.9,259.5,255.7,311.1,261.2,238.5,314.6,292.0,276.2,297.1,264.3,260.8,325.1,313.4,314.9,291.2
8,266.6,205.8,269.5,205.8,208.5,251.5,297.7,297.4,230.2,276.2,209.9,261.0,186.3,243.3,224.7,293.2,272.9,230.1,267.8,168.3,257.7,213.9,251.9,239.7,225.0,314.7,234.0,211.8,228.7,202.9,299.7,230.5,302.7,285.7,235.3,229.9,204.9,242.0,227.4,269.7,223.3,275.6,228.7,284.0,237.1,282.0,276.8,275.5,240.6,238.0,211.1,243.4,284.6,224.0,299.2,242.7,257.7,293.6,246.7,238.6,270.2,254.3,298.0,263.6,197.7,210.5,253.3,199.7,241.9,293.7,259.6,210.9,297.2,238.1,279.1,290.2,244.8,273.2,208.3,259.2,235.4,268.3,292.1,247.4,224.4,217.4,241.8,290.8,230.1,283.3,248.6,268.4,203.7,266.7,257.7,276.6,261.7,244.3,209.4,220.5,204.4,238.9,234.7,251.8,200.7,283.0,257.9,269.6,197.8,273.3,286.4,265.9,248.3,238.6,206.4,230.3,233.2,232.6,299.7,320.4,200.1,260.5,162.6,295.3,261.7
9,118.7,202.4,189.2,121.7,163.7,164.1,102.3,150.4,155.8,183.0,175.6,120.9,115.0,191.0,171.7,193.2,264.6,105.3,156.5,117.7,193.7,193.7,170.2,236.7,119.1,196.5,157.5,134.1,123.5,169.3,185.9,184.4,200.9,162.1,184.0,186.6,172.1,161.0,151.7,114.3,149.3,177.3,202.5,151.5,206.4,140.2,236.2,174.8,219.5,187.3,116.5,121.5,169.8,231.8,209.4,160.2,124.4,212.5,217.5,172.6,224.5,208.4,149.7,192.8,129.1,135.6,162.7,129.1,166.1,211.7,143.6,127.7,183.4,146.5,226.1,141.2,146.8,161.6,134.6,141.4,184.7,124.6,246.3,151.0,150.0,125.5,149.5,207.3,159.9,188.5,136.9,159.7,205.1,151.9,182.7,139.6,150.2,194.3,177.4,132.1,111.6,138.4,178.3,124.4,200.7,168.3,206.1,164.6,143.2,200.8,191.0,181.5,153.2,175.5,126.2,169.2,154.1,131.7,258.2,181.0,224.9,181.9,185.3,187.6,193.2
10,48.5,63.7,116.8,66.9,52.9,49.1,22.0,40.6,35.3,115.0,70.7,58.9,69.6,44.3,84.3,130.6,153.1,18.2,73.2,44.7,65.3,49.1,60.0,60.9,66.5,53.4,57.8,116.8,93.1,94.9,118.1,71.3,92.8,65.4,47.6,62.2,90.4,74.0,88.8,60.9,60.0,34.1,89.2,87.0,83.1,82.2,69.3,63.1,95.4,51.7,68.7,77.4,84.0,74.6,143.5,148.6,60.0,103.6,113.5,66.1,117.4,77.1,93.3,62.9,33.6,55.2,40.0,67.8,53.4,69.3,100.2,63.6,113.5,98.0,116.5,36.0,87.7,50.4,57.8,50.3,45.5,49.3,86.6,58.8,114.0,72.7,93.6,49.2,48.6,102.7,57.0,62.6,83.5,80.7,76.3,97.2,56.1,107.8,118.2,41.0,100.5,55.7,93.4,94.0,101.0,54.8,58.1,54.1,77.0,69.9,34.9,47.7,128.8,58.7,41.6,55.3,84.3,37.9,110.0,79.0,99.8,113.2,49.4,79.6,113.4
11,39.6,26.3,38.4,10.1,11.5,18.0,21.9,4.9,9.6,32.6,40.7,51.7,16.0,20.5,43.8,43.9,27.1,45.1,51.7,27.2,15.6,52.8,17.4,55.2,40.0,11.5,56.1,20.2,20.4,52.5,41.1,53.1,19.4,31.4,16.2,57.7,21.2,15.3,30.1,42.2,27.1,17.7,18.0,30.1,18.6,72.9,6.8,69.4,11.4,26.1,35.5,7.3,11.8,4.0,23.9,42.9,28.1,29.8,23.7,35.0,19.5,17.8,26.3,21.6,18.1,50.2,12.3,20.5,36.2,14.3,14.0,28.5,17.8,10.4,23.1,55.2,65.0,53.0,74.1,22.7,27.2,45.4,11.0,16.6,19.6,44.9,42.3,16.0,21.3,29.3,31.5,42.4,29.7,25.9,33.0,12.4,56.3,39.7,18.1,16.1,19.2,15.1,9.1,15.7,27.7,37.1,14.3,30.0,61.1,60.7,18.4,29.0,12.8,14.8,43.0,7.4,15.9,20.7,29.3,30.8,58.5,17.7,33.3,14.0,19.0
12,8.7,24.9,16.8,13.4,8.1,25.0,11.8,5.6,24.6,5.2,12.1,5.1,23.1,17.2,7.8,4.2,8.0,12.9,15.9,2.0,13.9,11.8,17.2,13.3,16.6,7.2,10.0,20.2,34.6,10.0,22.0,17.8,16.5,9.8,11.3,20.8,14.3,5.4,1.4,16.4,17.2,22.6,5.5,14.4,3.6,34.0,19.7,9.9,10.1,7.9,3.6,20.0,6.6,15.6,10.4,13.5,13.5,14.8,5.5,7.4,10.2,26.2,13.9,10.0,22.2,15.8,48.1,10.5,14.0,1.0,12.4,22.0,15.7,8.8,4.5,8.0,16.0,19.5,16.5,16.7,14.6,14.1,24.8,15.6,26.9,27.5,21.6,18.1,15.2,26.5,14.8,5.6,17.0,19.0,8.1,18.6,51.2,11.2,3.4,8.7,6.6,4.6,16.0,5.0,11.4,12.9,14.9,10.8,14.0,23.3,10.2,6.9,6.1,11.4,15.4,7.4,13.2,13.7,17.7,16.0,20.3,13.7,25.2,27.8,5.2
